,title,company,salary,summary,location,Experience
99,UX/UI Developer,CACI,,"Deep software and UX prototyping tools (Adobe CC suite, XD, etc.).
You’ll work closely with other UX and UI engineers, engineers, developers, data scientist to…","Washington, DC 20005 (Logan Circle area)",5
100,Front End Web Developer,Radio Free Asia,"$75,000 - $95,000 a year","As a front-end web developer, you'll have advanced proficiency in semantic markup and client-side Javascript, React, and headless systems.","Washington, DC 20036 (Dupont Circle area)",5
101,Junior Software Developer,Revature,,"Revature is the fastest growing employer of emerging technology talent in the US.
We will hire over 300 new Junior Software Developers in the next 4 weeks.","Hyattsville, MD",7
102,UI Developer,Alethix LLC,,"Exceptional skills with standard UX software.
Alethix* is looking for a *Sr.
User Interface(UI) Developer *to join our growing team!","Washington, DC 20472 (South West area)",6
103,"Front End Software Engineer, RED",The Washington Post,,"3+ years experience in software development.
Eagerness to explore and learn new software languages, tools and applications.","Washington, DC",6
104,Junior Web Developer,Tax Foundation,,"The Tax Foundation is the nation’s leading independent tax policy nonprofit.
Since 1937, our principled research, insightful analysis, and engaged experts have…","Washington, DC 20005 (Downtown area)",6
105,JavaScript Developer,Leidos,$54.60 an hour,"Create procedural, help and technical training documentation for AMP automation systems, including the Archibus facility management software applications.","Reston, VA 20170",4
106,Front End Web Developer,"DIGITALSPEC, LLC",,"You’ll also conduct impact analysis for changes and produces detailed specifications and writes software code.
Become an integral part of a diverse team!","Washington, DC 20002 (NoMa area)•Temporarily Remote",1
107,Software Engineer,Chargebee Inc,,"Provide input on SDLC best practices with a focus on building a world class software process, team and product.
What you will be doing: *.","Washington, DC",6
108,Entry Level Web developer,WTJ Corporation,,"Candidate should have ready -to- work knowledge and skill set for web page and web app.
From design layout to form development, the candidate should be able to…","Falls Church, VA 22042",4
109,Salesforce Developer,Salesforce,"$92,700 a year","A creative mindset to apply innovative approaches to software design.
Desire to work in a highly collaborative environment with a large team of like-minded…","Washington, DC+1 location",1
110,Senior Software Web Developer,LOCKHEED MARTIN CORPORATION,"$3,000 a week",Responsible for analyzing and troubleshooting complex software problems and providing solutions using the latest technologies.,"Annapolis Junction, MD 20701",2
111,Software Developer,Marathon TS,"$90,000 - $110,000 a year","Designs software tools and subsystems to support and manage software systems implementation.
Establishes and manages software configuration.","Rockville, MD 20852•Remote",6
112,Senior Software Developer full time,Brain Biosciences,,Responsible for the development and maintenance of graphical user interface (GUI) software for the Brain Biosciences’ line of Positron Emission Tomography (PET)…,"Rockville, MD",1
113,Junior Software Tester,Andromeda Systems Incorporated,,"Review requirements for software testability.
Andromeda Systems Incorporated (ASI) develops enterprise software used by financial asset managers to monitor,…","Arlington, VA 22202 (Aurora Highlands area)",1
114,Software Engineer/Web Developer,Embassy of the State of Kuwait,"$80,000 a year","Demonstrate strong understanding of software development/engineering.
Develops information systems by designing, developing, and installing software solutions.","Washington, DC",5
115,AS Database Developer,Astor & Sanders Corp,,"Agile/ SAFe, and other related developer certifications and/ or demonstrate equivalent experience.
Astor & Sanders Corporation (Astor), with offices in DC,…","Washington, DC",2
116,Software Developer,United Solutions LLC,"$50,000 - $150,000 a year","Experience with the entire software development life cycle is required.
Build high quality, high performing, and scalable software products used by millions of…","Rockville, MD 20850 (Town Center area)",5
117,Entry Level Software Developer,EAI Technologies,"$70,000 - $90,000 a year","Work in a fast-paced, hands-on capacity in a client-facing role, seeing first-hand the impact of you/your team's work on a daily basis.","Vienna, VA 22182•Temporarily Remote",2
118,Software Engineer,Emerson Automation Solutions,"$91,000 - $145,000 a year","We are looking for a meticulous leader and software engineer passionate about ensuring quality production software.
Senior Software Test Automation Engineer*.","Washington, DC",4
119,Sharepoint Developer (Intermediate),Chenega Corporation,,"Serve as a primary point of contact for obtaining customer feedback on mockups, user tests, and production software.
CMH is based at Ft.","Washington, DC 20319 (Southwest Waterfront area)",7
120,Front End Developer (Mid)`,Alpha Omega Integration,,"Working with customers on technical issues including software system design and maintenance.
Clearance Required: U.S. Citizen, Public Trust, Secret, or TS: *.","Washington, DC 20250 (South West area)",4
121,Associate Software Engineer (Full Time Starting Summer 2022),EAB,,"Ability to work with engineers and product management teams in requirements definition, design, and development of software products.","Washington, DC 20036 (Downtown area)",5
122,SharePoint Developer (Remote),ALQIMI,,"Experience using problem tracking and resolution software – CA Service Desk or Remedy.
9:00AM-5:30PM EST, Monday through Friday, with occasional overtime and/or…","Washington, DC•Remote",1
123,Software Engineer,Horizon Global Partners LLC,,"Research, design and write new software programs.
Analyze and modify existing software, as well as designing, constructing, and testing end user applications…","Washington, DC•Temporarily Remote",2
124,Development QA Tester,Bethesda Game Studios,,"Initiate discussion with developers, leads and producers on progress updates and suggestions.
You have 1+ years of software testing, engineering, or relevant QA…","Rockville, MD",3
125,Web Developer,Stratacomm LLC,,"Minimum of three years experience in a web developer role.
The ideal candidate will have experience managing discrete projects and the ability to juggle…","Washington, DC 20005 (Downtown area)",3
126,Angular Developer,Artemis Consulting Inc,,"5+ years of relevant experience.
We offer competitive salaries with a comprehensive benefits package including employer-subsidized health, dental & vision…","Washington, DC 20001 (Shaw area)•Remote",2
127,Entry Level Application Developer,DataLab USA,,"Debug and resolve software defects.
Leverage Python to build scalable and secure data processing software for continuous integration and delivery.","Germantown, MD 20876",6
128,Full Stack Developer,Diverse Agile Solutions,,"Integrate existing software into new or modified systems.
Develop and execute test procedures for software components.
Cloud Data Services experience is a plus.","Washington, DC",7
129,Software Engineer,"Techno-Sciences, llc","$100,000 - $115,000 a year","User Interface development to interface with backend software.
The successful candidate will work as part of an experienced and growing engineering team on a…","Lanham, MD 20706•Temporarily Remote",1
130,Software Engineer I (Web Developer),"Marq Solutions, LLC",,"Full Time Software Engineer I.
Web Developer working to support to support IC Authorization Services.
This position will provide support for design, development…","Fort Meade, MD 20755+1 location",2
131,Entry Level Software Developer,EAI Technologies,"$70,000 - $90,000 a year","Work in a fast-paced, hands-on capacity in a client-facing role, seeing first-hand the impact of you/your team's work on a daily basis.","Vienna, VA 22182+1 location•Temporarily Remote",3
132,Software Engineer,Emerson Automation Solutions,"$91,000 - $145,000 a year","We are looking for a meticulous leader and software engineer passionate about ensuring quality production software.
Senior Software Test Automation Engineer*.","Washington, DC",7
133,Web Developer/Designer,The West River Group,$43.55 an hour,"Communicate with back-end developers.
The web designer will work with back-end developers, content manager, team leaders, and internal clients.","Washington, DC 20260 (Southwest Federal Center area)",4
134,UI Developer,NetImpact Strategies Inc.,,"Update/upgrade software and development tools; perform bug-fixes; and implement suggestions from users.
Deliver mid-level user interface support for a federal…","Washington, DC 20001 (Shaw area)",6
135,Software Developer Tester,Broadtech Solutions,"$130,000 - $170,000 a year","Experience with software systems development in the IC community.
Develop reusable automated test scripts and maintain their compatibility with software as the…","Bethesda, MD 20814",2
136,Appian Developer,Oasys International Corporation,,"Ability to translate software requirements specifications into Appian application and prototype.
Deep knowledge in working with Relational Databases and must…","Washington, DC",5
137,Android and Mobile Developer,Wintrio,"$15,000 a month",The project is the backbone for our client providing all cloud and DevOps/DevSecOps type services with the latest and greatest tools … not a routine job or a…,"Washington, DC",3
138,Web Developer,Xelas Systems Engineering,,"Work with agency system developers to identify ways to properly interface with their systems.
Design and implement the GUI (Web Presence) for the database…","Fort Meade, MD",6
139,Software Engineer,LOCKHEED MARTIN CORPORATION,,"Experience with embedded systems and designing & developing software that interacts with hardware.
Development responsibilities include software design, code…","Rockville, MD 20850+2 locations",4
140,Software Engineer,LOCKHEED MARTIN CORPORATION,,"Experience with embedded systems and designing & developing software that interacts with hardware.
Development responsibilities include software design, code…","Rockville, MD 20850+2 locations",6
141,Software Developer,Pariveda Solutions,"$83,800 - $92,200 a year","Passionate technologists with 1+ years of software development experience.
As a Pariveda Consultant, you will work on small teams, collaborating with other…","Rosslyn, VA",1
142,Flight Software Systems Developer,ASRC Federal Holding Company,,"CFS programming with emphasis in flight software testing a plus.
We are looking for a highly skilled Flight Software Systems Developer to assist the CCRS flight…","Greenbelt, MD 20771",7
143,Software Engineer,PMcertDC,,"Software Engineer- Must have ability to gain a clearance (citizenship required).
You must be skilled in at least one coding language.","Washington, DC 20500 (Downtown area)",5
144,BizFlow Developer,Deloitte,,"Resolving Tier 3 support tickets dealing with software bugs or other technical issues.
Performing system/software/hardware upgrades and/or installation of…","Bethesda, MD 20817",6
145,Software Developer,Council on Dairy Cattle Breeding,"From $65,000 a year","Report and document bugs found during software development test.
Bachelor’s degree in computer science, software engineering, or a related field.","Bowie, MD 20716•Temporarily Remote",7
146,Entry Level Software Developer,Jacobs,,"Provide software process management and configuration management throughout the software development life cycle.
Must be willing to travel as needed.","Springfield, VA 22151",6
147,"Pega Application Developer, Mid","Quadrint, Inc.",,"Ability to access a system for which federal law requires U.S.
Citizenship, and the ability to obtain/maintain a security clearance is required.","Washington, DC 20535 (Downtown area)",2
148,Curriculum Developer - Customer Care,Frontpoint Security Solutions LLC,,"Familiar with tools: Working Knowledge of Adobe Captivate, Brainshark, or any other instructional design/eLearning software is preferred.","Vienna, VA 22182•Remote",7
149,Microsoft Collaboration Package Consultant,IBM,,Our team takes on the challenge of designing developing and re-engineering highly complex application components and integrating software packages using various…,"Washington, DC 20001 (Swampoodle area)",6
150,SOFTWARE DEVELOPER - ALL LEVELS!,Darkblade Systems Corporation,,"Security Clearance: * *TS/SCI WITH FULL SCOPE POLYGRAPH*.
Experience with developing/coding solution includes C++, Python, and MATLAB.","Tysons Corner, VA",6
151,QA Software Tester,PharmD Live,,"Able to analyze software and system, to overt risk and prevent software issues.
As a Software Tester, you will be expected to conduct automated and manual tests…","Washington, DC•Remote",3
152,iOS / Android Developer,Taoti,"$250,000 a year","Taoti Creative is looking for a *iOS / Android App Developer (PART TIME/Contract)*.
This would be likely be a part time position on a contracted basis.","Washington, DC 20003 (Capitol Hill area)•Remote",5
